      #Energy        TDOS-UP        TDOS-DOWN
     -22.69829       0.00000       0.00000
     -22.68829       0.00000       0.00000
     -22.67829       0.00000       0.00000
     -22.66729       0.00000       0.00000
     -22.65729       0.00000       0.00000
     -22.64629       0.00000       0.00000
     -22.63629       0.00000       0.00000
     -22.62629       0.00000       0.00000
     -22.61529       0.00000       0.00000
     -22.60529       0.00000       0.00000
     -22.59429       0.00000       0.00000
     -22.58429       0.00000       0.00000
     -22.57329       0.00000       0.00000
     -22.56329       0.00000       0.00000
     -22.55329       0.00000       0.00000
     -22.54229       0.00000       0.00000
     -22.53229       0.00000       0.00000
     -22.52129       0.00000       0.00000
     -22.51129       0.00000       0.00000
     -22.50129       0.00000       0.00000
     -22.49029       0.00000       0.00000
     -22.48029       0.00000       0.00000
     -22.46929       0.00000       0.00000
     -22.45929       0.00000       0.00000
     -22.44829       0.00000       0.00000
     -22.43829       0.00000       0.00000
     -22.42829       0.00000       0.00000
     -22.41729       0.00000       0.00000
     -22.40729       0.00000       0.00000
     -22.39629       0.00000       0.00000
     -22.38629       0.00000       0.00000
     -22.37629       0.00000       0.00000
     -22.36529       0.00000       0.00000
     -22.35529       0.00000       0.00000
     -22.34429       0.00000       0.00000
     -22.33429       0.00000       0.00000
     -22.32329       0.00000       0.00000
     -22.31329       0.00000       0.00000
     -22.30329       0.00000       0.00000
     -22.29229       0.00000       0.00000
     -22.28229       0.00000       0.00000
     -22.27129       0.00000       0.00000
     -22.26129       0.00000       0.00000
     -22.25129       0.00000       0.00000
     -22.24029       0.00000       0.00000
     -22.23029       0.00000       0.00000
     -22.21929       0.00000       0.00000
     -22.20929       0.00000       0.00000
     -22.19829       0.00000       0.00000
     -22.18829       0.00000       0.00000
     -22.17829       0.00000       0.00000
     -22.16729       0.00000       0.00000
     -22.15729       0.00000       0.00000
     -22.14629       0.00000       0.00000
     -22.13629       0.00000       0.00000
     -22.12629       0.00000       0.00000
     -22.11529       0.00000       0.00000
     -22.10529       0.00000       0.00000
     -22.09429       0.00000       0.00000
     -22.08429       0.00000       0.00000
     -22.07329       0.00000       0.00000
     -22.06329       0.00000       0.00000
     -22.05329       0.00000       0.00000
     -22.04229       0.00000       0.00000
     -22.03229       0.00000       0.00000
     -22.02129       0.00000       0.00000
     -22.01129       0.00000       0.00000
     -22.00129       0.00000       0.00000
     -21.99029       0.00000       0.00000
     -21.98029       0.00000       0.00000
     -21.96929       0.00000       0.00000
     -21.95929       0.00000       0.00000
     -21.94829       0.00000       0.00000
     -21.93829       0.00000       0.00000
     -21.92829       0.00000       0.00000
     -21.91729       0.00000       0.00000
     -21.90729       0.00000       0.00000
     -21.89629       0.00000       0.00000
     -21.88629       0.00000       0.00000
     -21.87629       0.00000       0.00000
     -21.86529       0.00000       0.00000
     -21.85529       0.00000       0.00000
     -21.84429       0.00000       0.00000
     -21.83429       0.00000       0.00000
     -21.82329       0.00000       0.00000
